workflow_size,mss,path_increase,variable_increase,constraint_increase
201,1.5,1.0,1.0049751243781095,1.0024937655860349
201,0.75,0.64,0.6467661691542289,0.6433915211970075
201,0.5,0.36,0.3681592039800995,0.3640897755610973
201,0.25,0.2,0.208955223880597,0.20448877805486285
201,0.15,0.12,0.12935323383084577,0.12468827930174564
201,0.1,0.08,0.08955223880597014,0.08478802992518704
201,0.05,0.04,0.04975124378109453,0.04488778054862843
201,0.01,0.005,0.009950248756218905,0.007481296758104738
501,1.5,1.0,1.001996007984032,1.000999000999001
501,0.75,0.512,0.5149700598802395,0.5134865134865135
501,0.5,0.488,0.49101796407185627,0.48951048951048953
501,0.25,0.232,0.23552894211576847,0.23376623376623376
501,0.15,0.128,0.1317365269461078,0.12987012987012986
501,0.1,0.064,0.06786427145708583,0.06593406593406594
501,0.05,0.04,0.043912175648702596,0.04195804195804196
501,0.01,0.004,0.007984031936127744,0.005994005994005994
1101,1.5,1.0,1.0009082652134422,1.000454338936847
1101,0.75,0.5345454545454545,0.5358764759309719,0.5352112676056338
1101,0.5,0.46545454545454545,0.46684831970935514,0.4661517492049069
1101,0.25,0.23272727272727273,0.23433242506811988,0.2335302135393003
1101,0.15,0.11636363636363636,0.11807447774750227,0.11721944570649705
1101,0.1,0.06909090909090909,0.07084468664850137,0.06996819627442072
1101,0.05,0.04,0.04178019981834696,0.0408905043162199
1101,0.01,0.007272727272727273,0.009082652134423252,0.00817810086324398
