workflow_size,mss,path_increase,variable_increase,constraint_increase
134,1.5,11.333333333333334,1.0298507462686568,5.3304347826086955
134,0.75,5.666666666666667,0.5223880597014925,2.6695652173913045
134,0.5,0.3333333333333333,0.373134328358209,0.3565217391304348
134,0.25,0.17708333333333334,0.19402985074626866,0.1826086956521739
134,0.15,0.16666666666666666,0.1417910447761194,0.15217391304347827
134,0.1,0.08333333333333333,0.08208955223880597,0.0782608695652174
134,0.05,0.041666666666666664,0.04477611940298507,0.043478260869565216
661,1.5,124.66666666666667,1.0196671709531013,53.03593339176161
661,0.75,6.8,0.6021180030257186,3.2094653812445224
661,0.5,4.533333333333333,0.40242057488653554,2.14022787028922
661,0.25,2.2666666666666666,0.2027231467473525,1.0709903593339176
661,0.15,1.1333333333333333,0.10287443267776097,0.5363716038562665
661,0.1,0.06666666666666667,0.07564296520423601,0.07186678352322524
661,0.05,0.041666666666666664,0.048411497730711045,0.04557405784399649
661,0.01,0.008333333333333333,0.009077155824508321,0.008764241893076249
1091,1.5,220.0,1.0073327222731439,94.31825355076276
1091,0.75,22.0,0.6012832263978002,9.719095213045765
1091,0.5,14.666666666666666,0.40146654445462876,6.479747501315098
1091,0.25,7.333333333333333,0.2016498625114574,3.2403997895844294
1091,0.15,0.1308641975308642,0.14757103574702107,0.1404523934771173
1091,0.1,0.08395061728395062,0.09532538955087076,0.09047869542346133
1091,0.05,0.03950617283950617,0.045829514207149404,0.04313519200420831
1091,0.01,0.009876543209876543,0.00916590284142988,0.009468700683850605
