workflow_size,mss,path_increase,variable_increase,constraint_increase
178,1.5,4.438356164383562,1.0337078651685394,4.363185313817911
178,0.75,0.7397260273972602,0.6741573033707865,0.738278342842967
178,0.5,0.3698630136986301,0.34269662921348315,0.36926321012155794
178,0.25,0.0045662100456621,0.21348314606741572,0.009178863805507318
178,0.15,0.0025367833587011668,0.12359550561797752,0.005209625403125776
178,0.1,0.0015220700152207,0.07865168539325842,0.0032250062019350038
178,0.05,0.0006341958396752917,0.03932584269662921,0.0014884644008930786
472,1.5,7.966804979253112,1.0127118644067796,7.896585658052371
472,0.75,1.3278008298755186,0.6694915254237288,1.3211535170289235
472,0.5,0.6639004149377593,0.336864406779661,0.6605981516344344
472,0.25,0.0013831258644536654,0.13983050847457626,0.002781105596440185
472,0.15,0.0013831258644536654,0.13983050847457626,0.002781105596440185
472,0.1,0.0006915629322268327,0.07203389830508475,0.0014119459181927093
472,0.05,0.00034578146611341634,0.0423728813559322,0.000770152319014205
472,0.01,4.322268326417704e-05,0.00847457627118644,0.00012835871983570083
1066,1.5,12.479201331114808,1.0056285178236397,12.411764057210283
1066,0.75,2.0798668885191347,0.6679174484052532,2.0715679895901107
1066,0.5,1.0399334442595674,0.3348968105065666,1.0357895085076585
1066,0.25,0.0009539656128674432,0.16322701688555347,0.0019077445607225169
1066,0.15,0.0007099278979478647,0.12195121951219512,0.0014225378516370213
1066,0.1,0.00035496394897393234,0.06191369606003752,0.0007167826384217549
1066,0.05,0.0002440377149195785,0.043151969981238276,0.0004962341342919841
1066,0.01,4.437049362174154e-05,0.009380863039399626,9.924682685839683e-05
