workflow_size,mss,path_increase,variable_increase,constraint_increase
156,1.5,1.0,1.0512820512820513,1.0074074074074073
156,0.75,0.6666666666666666,0.7051282051282052,0.6722222222222223
156,0.5,0.3333333333333333,0.358974358974359,0.337037037037037
156,0.25,0.16666666666666666,0.1858974358974359,0.16944444444444445
156,0.15,0.015151515151515152,0.10256410256410256,0.027777777777777776
156,0.1,0.011904761904761904,0.08974358974358974,0.023148148148148147
156,0.05,0.004329004329004329,0.038461538461538464,0.009259259259259259
492,1.5,1.0,1.0284552845528456,1.002880658436214
492,0.75,0.6666666666666666,0.6869918699186992,0.668724279835391
492,0.5,0.4166666666666667,0.43089430894308944,0.4181069958847737
492,0.25,0.16666666666666666,0.17479674796747968,0.16748971193415638
492,0.15,0.08333333333333333,0.08943089430894309,0.08395061728395062
492,0.1,0.08333333333333333,0.08943089430894309,0.08395061728395062
492,0.05,0.003663003663003663,0.036585365853658534,0.0069958847736625515
492,0.01,0.0004578754578754579,0.008130081300813009,0.0012345679012345679
902,1.5,1.0,1.0266075388026608,1.0026936026936026
902,0.75,0.45454545454545453,0.4678492239467849,0.4558922558922559
902,0.5,0.45454545454545453,0.4678492239467849,0.4558922558922559
902,0.25,0.18181818181818182,0.188470066518847,0.18249158249158248
902,0.15,0.09090909090909091,0.09534368070953436,0.09135802469135802
902,0.1,0.09090909090909091,0.09534368070953436,0.09135802469135802
902,0.05,0.045454545454545456,0.04878048780487805,0.04579124579124579
902,0.01,0.0007492507492507493,0.008869179600886918,0.0015712682379349046
